bar_code,title,price,cost_price,count
12836,ТОМАТНАЯ ПАСТА Ж/Б 70ГР. ПОМИДОРКА,35.0,30.0,0
12837,"ТОМАТНАЯ ПАСТА ""ПОМИДОРКА"" С Б 270Г.",71.5,58.0,0
1100327,СЫР ПЛАВЛ.ХОХЛАНД С ВЕТЧИНОЙ 200ГР,104.0,83.0,0
1589800,РУЛЕТ ВЫБЕРИ МЕНЯ ВАРЕНАЯ СГУЩЕНКА 175г,37.8333333333,30.0,1
1376812,"йогурт Фруате 0,95л 1,5% персик-груша",86.0,62.0,0
1152434,"Вафли ""Ух ты"" в шоколаде с кокосом 30гр, шт.",10.0,8.0,0
1255987,СЕМЕЧКИ ПОДСОЛНЕЧНИКА РЕЛАКС 70Г  1/30,22.2692307692,18.0,5
1378868,"СИГАРЕТЫ ""КИСС"" SS КЛУБНИКА (63)",86.2307692308,70.0,2
1651261,"ВОДА ГАЗИРОВАННАЯ МАЙСКАЯ ХРУСТАЛЬНАЯ 1,5Л ДЮШЕС  1/6",30.0612244898,24.0,9
1299011,"ЧАЙ ЗЕЛЕНЫЙ ПРИНЦЕССА ЯВА ПРЕМИУМ ООО ""ОРИМИ ТРЕЙД"" ПАЧ 100Г.",51.0,38.0,0
1278532,Сигареты с фильтром Marlboro 115,112.244897959,88.0,39
2732613,"Сигареты ""PHILIP MORRIS COMPACT PREMIUM"" с капсулой (МРЦ 75)",68.875,54.0,17
1184326,"МОРОЖЕНОЕ ФРУКТОВЫЙ ЛЕД ""БОН ПАРИ"" ВЗРЫВНОЙ УРАГАН 54МЛ (НЕСТЛЕ)",43.7777777778,34.0,3
1276490,Сигареты Parker & Simpson compact МРЦ 60,59.6931818182,46.0,17
1565262,"КЕФИР ИВАН ПОДДУБНЫЙ 900Г 2,5%",55.0833333333,45.0,2
2804303,Шоколад BOUNTY райское манго 52гр.,34.0,25.0,0
2030164,"Пельмени "" Бульмени"" 430г",97.0,71.0,0
1331801,"ЧИПСЫ ""LAY'S"" сметана лук 80Г",43.1067961165,35.0,20
1313371,"МОРОЖЕНОЕ NESTLE ""ЭКСТРЕМ"" КЛУБНИКА 120 МЛ",62.4285714286,50.0,1
1292892,Saint George 7 ОС,80.4868421053,64.0,15
1194595,ЛИНЕЙКА СТАММ 20СМ,20.0,14.0,0
49764,кофе Якобс,155.697674419,147.0,8
1133160,"Сиг Тройка ОС, МРЦ 63,00 руб",67.8653846154,54.0,41
1383018,Чипсы Lays Рефленые лобстер 150 гр.,90.0,73.0,0
1313390,морож СокКус банан,22.5714285714,18.0,1
1313395,МОРОЖЕННОЕ ЛЕДИ СОК КЛЮКВА 70 ГР. САМ ПО,22.0,17.0,0
1253481,"пиво""БалтикаN7"" бутылка",58.7826086957,46.0,4
1303162,ЯЧНЕВАЯ крупа 800г (Малахов) (15),21.7142857143,17.0,9
1399231,сок Дивный Сад 0.2л  мультифрукт,17.375,14.0,3
1303165,КРУПА ПШЕНИЧНАЯ МАЛАХОВСКАЯ 800Г БЕЛГОРОД  1/15,24.04,19.0,5
1098367,чипсы лейс,123.0,110.0,0
1086080,Сигареты «L & M Blue Label»,92.7164179104,75.0,13
2515585,46177476 СИГАРЕТЫ ВИНСТОН БЛЮ,96.1422413793,76.0,92
1086088,"СУХАРИКИ-ГРЕНКИ ""ЕМЕЛЯ"" СО ВКУСОМ ШАШЛЫКА 40 Г",14.6,12.0,2
1313420,ГОРЧИЦА БЕЛЫЙ ГОРОД 100Г ПИЩЕВАЯ ПЛ/Б  1/18,12.3214285714,10.0,5
1467023,"Нектар Сады Кубани Персиковый 1,0 т/пак Респ.Адыгея",41.3333333333,33.0,0
1331860,"ЧИПСЫ ""LAY'S"" сыр 80Г",51.5,42.0,1
1307289,"КРУПА МАННАЯ МАРКА А ""СТОЙЛЕНСКАЯ НИВА"" 1КГ.",49.8181818182,42.0,2
2509466,Кубик магги,5.0,4.0,11
1096347,Салфетки бумажные ,25.5,20.0,0
1223328,сахар песок 900г,51.1216216216,40.0,29
15019,ДИХЛОФОС ВАРАН УНИВЕРСАЛЬНЫЙ (СИНИЙ) 145МЛ,65.0,50.0,0
1303215,РИС  пропаренный   900г  (Малахов) (15),44.8571428571,35.0,1
1303225,РИС  длиннозерный  900г  (Малахов) (15),57.0,48.0,1
1303230,ПЕРЛОВАЯ крупа 900г (Малахов) (15),23.0,18.0,0
49856,"СУХ.КОРМ ДЛЯ ВЗРОСЛЫХ СОБА<15КГ ""ПЕДИГРИ"" 600ГР.",112.0,94.0,0
1254176,Saint George RED ОС,70.8,59.0,2
